,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
9/11/2025,502,66,2.48,1.76,1623,741,145,84,34,24,2130,1031,6229,63.23,"6,587.47"
9/10/2025,294,221,1.79,1.53,1486,801,159,82,42,28,1822,1158,6229,56.54,"6,532.04"
9/9/2025,321,128,1.77,1.62,1494,766,220,78,48,22,1870,1143,6230,57.23,"6,512.61"
9/8/2025,324,177,1.43,1.53,1532,758,218,79,45,27,1927,1135,6228,59.54,"6,495.15"
9/5/2025,314,115,1.27,2.44,1502,752,221,82,40,19,1916,1117,6225,59.67,"6,481.50"
9/4/2025,246,198,1.15,2.43,1459,772,201,90,41,23,1889,1182,6223,59.73,"6,502.08"
9/3/2025,188,170,1.24,2.45,1442,771,194,99,42,20,1728,1191,6229,55.89,"6,448.26"
9/2/2025,212,236,1.44,2.02,1445,753,217,100,48,24,1774,1161,6231,56.67,"6,415.54"
8/29/2025,130,142,1.67,2.26,1487,719,298,65,51,21,1933,1091,6230,61.39,"6,460.26"
8/28/2025,211,109,4.69,2.29,1555,701,254,87,48,21,1960,1086,6228,61.49,"6,501.86"
8/27/2025,182,89,5.04,2.13,1555,721,231,96,44,20,1977,1090,6226,61.34,"6,481.40"
8/26/2025,228,93,4.35,2.39,1538,733,219,102,41,19,1884,1140,6225,59.55,"6,465.94"
8/25/2025,190,130,2.53,2.63,1515,744,183,151,29,27,1817,1168,6226,59.41,"6,439.32"
8/22/2025,1301,29,2.70,2.47,1580,719,188,135,36,24,1987,1107,6236,62.81,"6,466.91"
8/21/2025,207,77,1.04,1.60,1307,835,141,168,28,28,1458,1361,6234,49.52,"6,370.17"
8/20/2025,140,146,0.88,1.43,1318,850,133,206,30,26,1437,1425,6234,51.00,"6,395.78"
8/19/2025,86,377,1.40,1.39,1357,826,164,166,35,24,1492,1396,6236,51.05,"6,411.37"
8/18/2025,255,107,2.74,1.62,1441,766,201,136,47,21,1602,1274,6237,50.67,"6,449.15"
8/15/2025,209,156,2.25,1.71,1422,781,191,145,48,23,1608,1346,6239,50.05,"6,449.80"
8/14/2025,159,184,2.16,1.40,1451,792,183,155,42,22,1677,1325,6235,53.09,"6,468.54"
8/13/2025,606,118,1.96,1.32,1524,777,216,124,46,21,1822,1223,6234,57.66,"6,466.58"
8/12/2025,628,113,1.38,1.06,1425,826,200,125,42,18,1621,1402,6232,51.55,"6,445.76"
8/11/2025,204,230,1.02,0.77,1275,930,128,158,24,24,1339,1626,6228,43.03,"6,373.45"
8/8/2025,283,227,1.31,0.76,1339,890,128,136,31,26,1400,1610,6229,44.76,"6,389.45"
8/7/2025,271,326,0.92,0.74,1368,869,112,138,24,29,1398,1604,6226,43.86,"6,340.00"
8/6/2025,232,279,0.85,0.73,1428,821,123,131,34,25,1428,1539,6220,45.02,"6,345.06"
8/5/2025,296,196,0.80,0.91,1434,782,137,107,37,22,1453,1460,6221,45.59,"6,299.19"
8/4/2025,346,66,0.57,1.02,1461,790,130,93,37,22,1394,1481,6223,43.90,"6,329.94"
8/1/2025,120,501,0.43,0.95,1354,880,87,128,26,28,1200,1733,6220,36.95,"6,238.01"
7/31/2025,171,328,0.57,1.13,1497,786,111,86,31,21,1429,1453,6217,45.31,"6,339.39"
7/30/2025,168,293,0.60,1.38,1573,732,130,74,36,19,1534,1303,6211,49.79,"6,362.90"
7/29/2025,135,462,1.04,1.62,1684,678,132,66,33,18,1687,1154,6208,57.73,"6,370.86"
7/28/2025,182,224,1.96,1.70,1793,592,173,62,47,16,1877,951,6210,59.45,"6,389.58"
7/25/2025,170,134,2.23,1.83,1906,566,187,61,41,19,1933,905,6213,62.99,"6,388.64"
7/24/2025,181,269,2.19,1.72,1985,565,201,60,52,18,1965,886,6211,62.76,"6,363.35"
7/23/2025,535,66,3.28,1.96,2208,531,198,57,53,20,2161,761,6210,67.59,"6,358.91"
7/22/2025,461,89,2.75,1.84,2072,569,194,65,53,21,1919,876,6207,62.70,"6,309.62"
7/21/2025,279,171,1.48,1.78,1966,602,185,76,46,17,1802,964,6207,55.61,"6,305.60"
7/18/2025,184,155,1.50,1.50,1991,610,187,74,51,22,1834,960,6203,57.98,"6,296.79"
7/17/2025,397,84,1.35,1.58,2071,590,212,62,60,21,1950,892,6203,59.73,"6,297.36"
7/16/2025,312,95,1.20,1.60,1977,617,150,63,47,19,1763,951,6205,56.79,"6,263.70"
7/15/2025,129,377,1.29,1.62,1975,643,164,68,43,18,1660,1035,6203,53.42,"6,243.76"
7/14/2025,277,155,2.17,1.96,2163,576,142,61,42,20,2046,880,6201,64.13,"6,268.56"
7/11/2025,160,234,1.51,1.70,2298,568,132,63,39,21,2020,925,6203,63.29,"6,259.75"
7/10/2025,306,125,1.86,1.96,2436,533,140,55,39,21,2265,810,6202,66.92,"6,280.46"
7/9/2025,397,89,2.16,1.75,2360,541,138,59,35,19,2151,843,6202,64.87,"6,263.26"
7/8/2025,394,104,2.02,1.78,2306,567,140,58,32,21,2033,882,6201,64.29,"6,225.52"
7/7/2025,194,411,1.77,1.55,2206,640,175,58,43,22,1857,969,6200,62.78,"6,229.98"
7/3/2025,120,31,1.96,1.68,2340,600,186,54,39,19,2126,870,6196,69.28,"6,279.35"
7/2/2025,413,68,2.05,1.67,2280,624,170,57,42,21,2011,935,6199,67.05,"6,227.42"
7/1/2025,462,169,1.44,1.33,2133,684,172,62,36,19,1730,1030,6202,64.63,"6,197.58"
6/30/2025,190,101,1.55,1.34,1991,724,178,51,45,19,1556,1083,6196,58.47,"6,204.35"
6/27/2025,181,328,1.36,1.07,1979,721,145,58,34,13,1648,1095,6192,60.11,"6,173.07"
6/26/2025,357,115,1.47,1.14,1984,711,156,61,37,17,1689,1073,6193,60.24,"6,141.02"
6/25/2025,165,230,1.33,1.03,1877,762,128,69,29,19,1692,1145,6192,53.48,"6,092.16"
6/24/2025,405,63,1.23,1.13,1936,707,170,60,38,19,1834,1050,6192,61.23,"6,092.18"
6/23/2025,181,210,1.17,1.09,1820,765,144,80,35,19,1669,1217,6188,57.53,"6,025.17"
6/20/2025,219,285,0.87,1.29,1786,744,144,65,46,17,1663,1199,6182,50.64,"5,967.84"
6/18/2025,238,119,0.89,1.32,1814,722,118,77,34,21,1759,1141,6178,50.79,"5,980.87"
6/17/2025,148,291,0.82,1.35,1765,737,113,76,41,24,1760,1175,6173,51.03,"5,982.72"
6/16/2025,396,106,1.04,1.69,1853,684,136,68,38,23,1910,1021,6173,57.71,"6,033.11"
6/13/2025,151,527,1.01,1.64,1751,716,127,68,32,18,1769,1134,6169,53.75,"5,976.97"
6/12/2025,142,162,2.11,2.03,1951,646,160,51,45,19,2044,912,6166,66.19,"6,045.26"
6/11/2025,210,188,2.03,2.14,1985,613,157,52,42,21,2145,856,6159,66.35,"6,022.24"
6/10/2025,263,134,2.41,2.21,2033,609,162,53,47,23,2326,794,6156,68.95,"6,038.81"
6/9/2025,390,132,2.91,2.48,1976,636,230,58,55,22,2347,807,6157,68.02,"6,005.88"
6/6/2025,416,57,2.87,2.30,1910,659,216,53,56,20,2456,835,6156,66.60,"6,000.36"
6/5/2025,186,212,1.94,2.03,1774,731,234,58,64,22,2273,939,6156,63.06,"5,939.30"
6/4/2025,259,92,2.26,1.47,1783,718,252,56,72,20,2346,878,6153,64.67,"5,970.81"
6/3/2025,459,94,2.02,1.44,1776,747,218,74,55,23,2370,874,6152,65.87,"5,970.37"
6/2/2025,344,125,2.12,1.28,1629,857,181,83,49,26,2211,1019,6154,61.42,"5,935.94"
5/30/2025,154,198,1.84,1.30,1620,874,210,85,53,24,2253,987,6150,62.88,"5,911.69"
5/29/2025,236,134,2.13,1.37,1661,882,250,73,59,21,2421,905,6150,64.02,"5,912.17"
5/28/2025,180,129,1.04,1.26,1617,930,248,82,59,21,2354,916,6149,60.31,"5,888.55"
5/27/2025,593,125,1.10,1.31,1679,902,275,79,61,21,2738,826,6147,65.00,"5,921.54"
5/23/2025,151,129,0.78,1.61,1453,1015,221,74,54,17,2462,979,6145,53.26,"5,802.82"
5/22/2025,211,126,0.96,1.61,1499,1068,235,70,47,16,2534,892,6141,54.00,"5,842.01"
5/21/2025,97,678,0.95,1.76,1495,1128,304,68,57,17,2547,989,6141,55.09,"5,844.61"
5/20/2025,242,117,1.61,2.34,1741,991,468,42,92,14,2907,869,6139,66.35,"5,940.46"
5/19/2025,209,120,1.62,1.91,1733,1036,606,34,124,11,2920,879,6138,67.35,"5,963.60"
5/16/2025,332,99,2.76,1.79,1750,1045,509,39,95,14,2917,891,6134,67.13,"5,958.38"
5/15/2025,227,148,2.42,1.86,1657,1091,519,44,90,15,2819,989,6131,64.99,"5,916.93"
5/14/2025,193,265,2.74,1.86,1660,1131,452,50,84,17,2748,1076,6131,60.59,"5,892.58"
5/13/2025,338,170,2.95,1.90,1720,1083,472,52,70,16,2846,984,6131,64.23,"5,886.55"
5/12/2025,1230,159,2.11,1.89,1633,1102,475,44,67,12,2848,987,6132,63.87,"5,844.19"
5/9/2025,254,186,1.13,1.39,1268,1320,339,42,55,15,2415,1303,6127,55.37,"5,659.91"
5/8/2025,600,176,1.41,1.40,1238,1334,166,52,31,15,2442,1281,6127,54.80,"5,663.94"
5/7/2025,230,207,1.13,1.40,1030,1477,436,39,46,10,2173,1497,6127,47.31,"5,631.28"
5/6/2025,190,459,1.10,1.68,980,1479,280,43,32,16,2147,1520,6125,44.81,"5,606.91"
5/5/2025,124,210,1.58,2.52,1107,1434,341,41,37,16,2337,1362,6125,47.50,"5,650.38"
5/2/2025,495,111,1.84,2.26,1172,1393,205,43,27,12,2500,1276,6125,50.02,"5,686.67"
5/1/2025,259,165,1.39,2.14,978,1534,64,87,11,13,2137,1461,6124,38.32,"5,604.14"
4/30/2025,223,228,1.89,1.92,922,1546,89,77,20,12,2071,1501,6123,36.49,"5,569.06"
4/29/2025,194,106,3.08,2.03,923,1510,86,69,12,13,2183,1456,6121,38.46,"5,560.83"
4/28/2025,174,121,4.30,2.15,902,1575,70,81,8,15,2079,1497,6127,33.91,"5,528.75"
4/25/2025,179,122,2.71,2.37,878,1589,51,110,6,16,2020,1601,6128,31.20,"5,525.21"
4/24/2025,454,70,3.01,2.21,857,1600,49,120,8,16,2004,1650,6125,31.54,"5,484.77"
